#TYPE Selected.System.ServiceProcess.ServiceController
"Name","Status"
"AarSvc_19437424","Stopped"
"AJRouter","Stopped"
"ALG","Stopped"
"AppIDSvc","Stopped"
"AppReadiness","Stopped"
"AppVClient","Stopped"
"AppXSvc","Stopped"
"aspnet_state","Stopped"
"AssignedAccessManagerSvc","Stopped"
"autotimesvc","Stopped"
"AxInstSV","Stopped"
"BASupportExpressService","Stopped"
"BcastDVRUserService_19437424","Stopped"
"Browser","Stopped"
"CaptureService_19437424","Stopped"
"COMSysApp","Stopped"
"ConsentUxUserSvc_19437424","Stopped"
"CredentialEnrollmentManagerUserSvc_19437424","Stopped"
"CscService","Stopped"
"defragsvc","Stopped"
"DeviceAssociationBrokerSvc_19437424","Stopped"
"DeviceInstall","Stopped"
"DevicePickerUserSvc_19437424","Stopped"
"DevicesFlowUserSvc_19437424","Stopped"
"DevQueryBroker","Stopped"
"diagnosticshub.standardcollector.service","Stopped"
"diagsvc","Stopped"
"DmEnrollmentSvc","Stopped"
"dmwappushservice","Stopped"
"dot3svc","Stopped"
"DsmSvc","Stopped"
"Eaphost","Stopped"
"EFS","Stopped"
"embeddedmode","Stopped"
"EntAppSvc","Stopped"
"Fax","Stopped"
"fhsvc","Stopped"
"FrameServer","Stopped"
"GoogleChromeElevationService","Stopped"
"gpsvc","Stopped"
"GraphicsPerfSvc","Stopped"
"gupdate","Stopped"
"gupdatem","Stopped"
"HvHost","Stopped"
"icssvc","Stopped"
"Intel(R) TPM Provisioning Service","Stopped"
"IpxlatCfgSvc","Stopped"
"KtmRm","Stopped"
"lltdsvc","Stopped"
"LPlatSvc","Stopped"
"LxpSvc","Stopped"
"MapsBroker","Stopped"
"MessagingService_19437424","Stopped"
"MixedRealityOpenXRSvc","Stopped"
"MSDTC","Stopped"
"MSiSCSI","Stopped"
"msiserver","Stopped"
"MsMpiLaunchSvc","Stopped"
"NaturalAuthentication","Stopped"
"NcaSvc","Stopped"
"NetSetupSvc","Stopped"
"NetTcpPortSharing","Stopped"
"NgcCtnrSvc","Stopped"
"NgcSvc","Stopped"
"NvContainerLocalSystem","Stopped"
"ose","Stopped"
"ose64","Stopped"
"p2pimsvc","Stopped"
"p2psvc","Stopped"
"PeerDistSvc","Stopped"
"perceptionsimulation","Stopped"
"PerfHost","Stopped"
"PhoneSvc","Stopped"
"PimIndexMaintenanceSvc_19437424","Stopped"
"pla","Stopped"
"PNRPAutoReg","Stopped"
"PNRPsvc","Stopped"
"PolicyAgent","Stopped"
"PrintNotify","Stopped"
"PushToInstall","Stopped"
"RasAuto","Stopped"
"RemoteAccess","Stopped"
"RemoteRegistry","Stopped"
"RetailDemo","Stopped"
"RpcLocator","Stopped"
"ScDeviceEnum","Stopped"
"SCPolicySvc","Stopped"
"SDRSVC","Stopped"
"seclogon","Stopped"
"SEMgrSvc","Stopped"
"Sense","Stopped"
"SensorDataService","Stopped"
"SensorService","Stopped"
"SensrSvc","Stopped"
"SharedAccess","Stopped"
"SharedRealitySvc","Stopped"
"shpamsvc","Stopped"
"smphost","Stopped"
"SmsRouter","Stopped"
"SNMPTRAP","Stopped"
"spectrum","Stopped"
"SQLSERVERAGENT","Stopped"
"ssh-agent","Stopped"
"svsvc","Stopped"
"swprv","Stopped"
"TieringEngineService","Stopped"
"TroubleshootingSvc","Stopped"
"TrustedInstaller","Stopped"
"tzautoupdate","Stopped"
"UevAgentService","Stopped"
"UnistoreSvc_19437424","Stopped"
"upnphost","Stopped"
"UserDataSvc_19437424","Stopped"
"VacSvc","Stopped"
"vds","Stopped"
"vmicguestinterface","Stopped"
"vmicheartbeat","Stopped"
"vmickvpexchange","Stopped"
"vmicrdv","Stopped"
"vmicshutdown","Stopped"
"vmictimesync","Stopped"
"vmicvmsession","Stopped"
"vmicvss","Stopped"
"VSS","Stopped"
"VSStandardCollectorService140","Stopped"
"WaaSMedicSvc","Stopped"
"WalletService","Stopped"
"WarpJITSvc","Stopped"
"wbengine","Stopped"
"wcncsvc","Stopped"
"WdiSystemHost","Stopped"
"Wecsvc","Stopped"
"WEPHOSTSVC","Stopped"
"wercplsupport","Stopped"
"WerSvc","Stopped"
"WFDSConMgrSvc","Stopped"
"WiaRpc","Stopped"
"WinRM","Stopped"
"wisvc","Stopped"
"wlidsvc","Stopped"
"wlpasvc","Stopped"
"WManSvc","Stopped"
"WMPNetworkSvc","Stopped"
"workfolderssvc","Stopped"
"WpcMonSvc","Stopped"
"WPDBusEnum","Stopped"
"WwanSvc","Stopped"
"XblAuthManager","Stopped"
"XblGameSave","Stopped"
"XboxGipSvc","Stopped"
"XboxNetApiSvc","Stopped"
